| Level      | Status     | Time Taken (ms)      | Memory Used (bytes)  | Total Recursions     | Algorithm            | Time                 |
| ---------- | ---------- | -------------------- | -------------------- | -------------------- | -------------------- | -------------------- |
| EASY       | Solved     | 1339                 | 461400               | 82                   | Dancing Links        | 2025-05-02 11:56:38  |
| EASY       | Solved     | 1112                 | 368544               | 82                   | Dancing Links        | 2025-05-02 11:56:38  |
| EASY       | Solved     | 821                  | 316992               | 82                   | Dancing Links        | 2025-05-02 11:56:38  |
| EASY       | Solved     | 674                  | 328968               | 82                   | Dancing Links        | 2025-05-02 11:56:38  |
| EASY       | Solved     | 676                  | 340728               | 82                   | Dancing Links        | 2025-05-02 11:56:38  |
| EASY       | Solved     | 667                  | 351464               | 82                   | Dancing Links        | 2025-05-02 11:56:38  |
| EASY       | Solved     | 674                  | 370696               | 82                   | Dancing Links        | 2025-05-02 11:56:38  |
| EASY       | Solved     | 1021                 | 394080               | 98                   | Dancing Links        | 2025-05-02 11:56:38  |
| EASY       | Solved     | 667                  | 403920               | 82                   | Dancing Links        | 2025-05-02 11:56:38  |
| EASY       | Solved     | 686                  | 383968               | 82                   | Dancing Links        | 2025-05-02 11:56:38  |
| EASY       | Unsolved   | 776                  | 472256               | 1                    | Dancing Links        | 2025-05-02 11:56:38  |
| EASY       | Solved     | 912                  | 383232               | 82                   | Dancing Links        | 2025-05-02 11:56:38  |
| EASY       | Solved     | 926                  | 428448               | 82                   | Dancing Links        | 2025-05-02 11:56:38  |
| EASY       | Solved     | 695                  | 367288               | 82                   | Dancing Links        | 2025-05-02 11:56:38  |
| EASY       | Solved     | 641                  | 361648               | 82                   | Dancing Links        | 2025-05-02 11:56:38  |
| MEDIUM     | Solved     | 683                  | 375320               | 82                   | Dancing Links        | 2025-05-02 11:56:38  |
| MEDIUM     | Solved     | 651                  | 374344               | 82                   | Dancing Links        | 2025-05-02 11:56:38  |
| MEDIUM     | Solved     | 705                  | 370432               | 82                   | Dancing Links        | 2025-05-02 11:56:38  |
| MEDIUM     | Solved     | 1008                 | 365696               | 82                   | Dancing Links        | 2025-05-02 11:56:38  |
| MEDIUM     | Solved     | 721                  | 368784               | 82                   | Dancing Links        | 2025-05-02 11:56:38  |
| MEDIUM     | Solved     | 735                  | 368888               | 82                   | Dancing Links        | 2025-05-02 11:56:38  |
| MEDIUM     | Solved     | 730                  | 367088               | 82                   | Dancing Links        | 2025-05-02 11:56:38  |
| MEDIUM     | Solved     | 957                  | 364600               | 82                   | Dancing Links        | 2025-05-02 11:56:38  |
| MEDIUM     | Solved     | 749                  | 365472               | 82                   | Dancing Links        | 2025-05-02 11:56:38  |
| MEDIUM     | Solved     | 753                  | 364736               | 82                   | Dancing Links        | 2025-05-02 11:56:38  |
| MEDIUM     | Solved     | 808                  | 365864               | 82                   | Dancing Links        | 2025-05-02 11:56:38  |
| MEDIUM     | Solved     | 903                  | 363064               | 82                   | Dancing Links        | 2025-05-02 11:56:38  |
| MEDIUM     | Solved     | 969                  | 367912               | 82                   | Dancing Links        | 2025-05-02 11:56:38  |
| MEDIUM     | Solved     | 1056                 | 399200               | 114                  | Dancing Links        | 2025-05-02 11:56:38  |
| MEDIUM     | Solved     | 1137                 | 385432               | 82                   | Dancing Links        | 2025-05-02 11:56:38  |
| HARD       | Solved     | 1074                 | 373888               | 82                   | Dancing Links        | 2025-05-02 11:56:38  |
| HARD       | Solved     | 947                  | 378152               | 82                   | Dancing Links        | 2025-05-02 11:56:38  |
| HARD       | Solved     | 5147                 | 728296               | 7406                 | Dancing Links        | 2025-05-02 11:56:38  |
| HARD       | Solved     | 711                  | 377232               | 82                   | Dancing Links        | 2025-05-02 11:56:38  |
| HARD       | Solved     | 789                  | 376672               | 82                   | Dancing Links        | 2025-05-02 11:56:38  |
| HARD       | Solved     | 655                  | 384416               | 82                   | Dancing Links        | 2025-05-02 11:56:38  |
| HARD       | Solved     | 681                  | 378592               | 82                   | Dancing Links        | 2025-05-02 11:56:38  |
| HARD       | Solved     | 728                  | 364704               | 82                   | Dancing Links        | 2025-05-02 11:56:38  |
| HARD       | Solved     | 717                  | 371640               | 82                   | Dancing Links        | 2025-05-02 11:56:38  |
| HARD       | Solved     | 886                  | 396320               | 82                   | Dancing Links        | 2025-05-02 11:56:38  |
| HARD       | Solved     | 863                  | 376464               | 82                   | Dancing Links        | 2025-05-02 11:56:38  |
| HARD       | Solved     | 1237                 | 405312               | 111                  | Dancing Links        | 2025-05-02 11:56:38  |
| HARD       | Solved     | 801                  | 400808               | 82                   | Dancing Links        | 2025-05-02 11:56:39  |
| HARD       | Solved     | 839                  | 396632               | 82                   | Dancing Links        | 2025-05-02 11:56:39  |
| HARD       | Solved     | 744                  | 392696               | 82                   | Dancing Links        | 2025-05-02 11:56:39  |
| EXTREME    | Solved     | 726                  | 383744               | 152                  | Dancing Links        | 2025-05-02 11:56:39  |
| EXTREME    | Solved     | 955                  | 400424               | 263                  | Dancing Links        | 2025-05-02 11:56:39  |
| EXTREME    | Solved     | 882                  | 373048               | 97                   | Dancing Links        | 2025-05-02 11:56:39  |
| EXTREME    | Solved     | 900                  | 423912               | 90                   | Dancing Links        | 2025-05-02 11:56:39  |
| EXTREME    | Solved     | 798                  | 384064               | 200                  | Dancing Links        | 2025-05-02 11:56:39  |
| EXTREME    | Solved     | 838                  | 398696               | 82                   | Dancing Links        | 2025-05-02 11:56:39  |
