Algorithm,Level,Status,Time Taken (ms),Memory Used (bytes)
Dancing Links,EASY,Solved,1003,0
Dancing Links,EASY,Solved,1057,343736
Dancing Links,EASY,Solved,1012,343920
Dancing Links,EASY,Solved,911,343736
Dancing Links,EASY,Solved,908,344160
Dancing Links,EASY,Solved,891,343736
Dancing Links,EASY,Solved,954,344016
Dancing Links,EASY,Solved,903,343720
Dancing Links,EASY,Solved,995,343784
Dancing Links,EASY,Solved,951,343736
Dancing Links,EASY,Unsolved,843,343736
Dancing Links,EASY,Solved,900,343856
Dancing Links,EASY,Solved,895,343736
Dancing Links,EASY,Solved,961,343736
Dancing Links,EASY,Solved,883,344016
Dancing Links,MEDIUM,Solved,896,343736
Dancing Links,MEDIUM,Solved,1025,343736
Dancing Links,MEDIUM,Solved,955,343736
Dancing Links,MEDIUM,Solved,939,343736
Dancing Links,MEDIUM,Solved,964,343736
Dancing Links,MEDIUM,Solved,932,343856
Dancing Links,MEDIUM,Solved,917,343736
Dancing Links,MEDIUM,Solved,904,343736
Dancing Links,MEDIUM,Solved,960,343736
Dancing Links,MEDIUM,Solved,886,343736
Dancing Links,MEDIUM,Solved,893,343736
Dancing Links,MEDIUM,Solved,889,343736
Dancing Links,MEDIUM,Solved,907,343736
Dancing Links,MEDIUM,Solved,900,343736
Dancing Links,MEDIUM,Solved,932,343736
Dancing Links,HARD,Solved,1104,343720
Dancing Links,HARD,Solved,927,343720
Dancing Links,HARD,Solved,931,343720
Dancing Links,HARD,Solved,890,343736
Dancing Links,HARD,Solved,881,343720
Dancing Links,HARD,Solved,1015,343720
Dancing Links,HARD,Solved,896,343720
Dancing Links,HARD,Solved,897,343720
Dancing Links,HARD,Solved,899,343720
Dancing Links,HARD,Solved,903,343720
Dancing Links,HARD,Solved,876,343720
Dancing Links,HARD,Solved,945,343720
Dancing Links,HARD,Solved,888,343720
Dancing Links,HARD,Solved,887,343736
Dancing Links,HARD,Solved,968,343720
Dancing Links,EXTREME,Solved,1058,343736
Dancing Links,EXTREME,Solved,1170,343736
Dancing Links,EXTREME,Solved,896,343736
Dancing Links,EXTREME,Solved,921,343736
Dancing Links,EXTREME,Solved,971,343736
Dancing Links,EXTREME,Solved,893,343720
Backtracking,EASY,Solved,72,0
Backtracking,EASY,Solved,17,0
Backtracking,EASY,Solved,34,0
Backtracking,EASY,Solved,12,0
Backtracking,EASY,Solved,27,0
Backtracking,EASY,Solved,9,0
Backtracking,EASY,Solved,25,0
Backtracking,EASY,Solved,942,0
Backtracking,EASY,Solved,14,0
Backtracking,EASY,Solved,64,0
Backtracking,EASY,Unsolved,49,0
Backtracking,EASY,Solved,45,0
Backtracking,EASY,Solved,10,0
Backtracking,EASY,Solved,12,0
Backtracking,EASY,Solved,22,0
Backtracking,MEDIUM,Solved,79,0
Backtracking,MEDIUM,Solved,21,0
Backtracking,MEDIUM,Solved,195,0
Backtracking,MEDIUM,Solved,40,0
Backtracking,MEDIUM,Solved,278,0
Backtracking,MEDIUM,Solved,17,0
Backtracking,MEDIUM,Solved,31,0
Backtracking,MEDIUM,Solved,172,0
Backtracking,MEDIUM,Solved,436,0
Backtracking,MEDIUM,Solved,26,0
Backtracking,MEDIUM,Solved,11,0
Backtracking,MEDIUM,Solved,48,0
Backtracking,MEDIUM,Solved,126,0
Backtracking,MEDIUM,Solved,60,0
Backtracking,MEDIUM,Solved,1343,0
Backtracking,HARD,Solved,370,0
Backtracking,HARD,Solved,68,0
Backtracking,HARD,Solved,759,0
Backtracking,HARD,Solved,121,0
Backtracking,HARD,Solved,66,0
Backtracking,HARD,Solved,1525,0
Backtracking,HARD,Solved,55,0
Backtracking,HARD,Solved,183,0
Backtracking,HARD,Solved,36,0
Backtracking,HARD,Solved,283,0
Backtracking,HARD,Solved,552,0
Backtracking,HARD,Solved,390,0
Backtracking,HARD,Solved,435,0
Backtracking,HARD,Solved,83,0
Backtracking,HARD,Solved,542,0
