Level,Status,Time Taken (ms),Memory Used (bytes)
EASY,Solved,1339,461400
EASY,Solved,1112,368544
EASY,Solved,821,316992
EASY,Solved,674,328968
EASY,Solved,676,340728
EASY,Solved,667,351464
EASY,Solved,674,370696
EASY,Solved,1021,394080
EASY,Solved,667,403920
EASY,Solved,686,383968
EASY,Unsolved,776,472256
EASY,Solved,912,383232
EASY,Solved,926,428448
EASY,Solved,695,367288
EASY,Solved,641,361648
MEDIUM,Solved,683,375320
MEDIUM,Solved,651,374344
MEDIUM,Solved,705,370432
MEDIUM,Solved,1008,365696
MEDIUM,Solved,721,368784
MEDIUM,Solved,735,368888
MEDIUM,Solved,730,367088
MEDIUM,Solved,957,364600
MEDIUM,Solved,749,365472
MEDIUM,Solved,753,364736
MEDIUM,Solved,808,365864
MEDIUM,Solved,903,363064
MEDIUM,Solved,969,367912
MEDIUM,Solved,1056,399200
MEDIUM,Solved,1137,385432
HARD,Solved,1074,373888
HARD,Solved,947,378152
HARD,Solved,5147,728296
HARD,Solved,711,377232
HARD,Solved,789,376672
HARD,Solved,655,384416
HARD,Solved,681,378592
HARD,Solved,728,364704
HARD,Solved,717,371640
HARD,Solved,886,396320
HARD,Solved,863,376464
HARD,Solved,1237,405312
HARD,Solved,801,400808
HARD,Solved,839,396632
HARD,Solved,744,392696
EXTREME,Solved,726,383744
EXTREME,Solved,955,400424
EXTREME,Solved,882,373048
EXTREME,Solved,900,423912
EXTREME,Solved,798,384064
EXTREME,Solved,838,398696
