Sudoku ID,Algorithm,Level,Status,Time Taken (ms),Memory Used (KB)
1,Dancing Links,EASY,Solved,3637,962
1,Backtracking,EASY,Solved,318,326
1,Forward Checking,EASY,Solved,2037,620
1,Backtracking with MRV,EASY,Solved,436,58
2,Dancing Links,EASY,Solved,805,350
2,Backtracking,EASY,Solved,403,14
2,Forward Checking,EASY,Solved,1056,665
2,Backtracking with MRV,EASY,Solved,445,89
3,Dancing Links,EASY,Solved,969,334
3,Backtracking,EASY,Solved,354,4
3,Forward Checking,EASY,Solved,823,658
3,Backtracking with MRV,EASY,Solved,336,84
4,Dancing Links,EASY,Solved,1080,331
4,Backtracking,EASY,Solved,292,2
4,Forward Checking,EASY,Solved,706,576
4,Backtracking with MRV,EASY,Solved,382,84
5,Dancing Links,EASY,Solved,810,331
5,Backtracking,EASY,Solved,221,2
5,Forward Checking,EASY,Solved,992,576
5,Backtracking with MRV,EASY,Solved,274,84
6,Dancing Links,EASY,Solved,803,331
6,Backtracking,EASY,Solved,207,2
6,Forward Checking,EASY,Solved,777,576
6,Backtracking with MRV,EASY,Solved,261,84
7,Dancing Links,EASY,Solved,751,331
7,Backtracking,EASY,Solved,237,2
7,Forward Checking,EASY,Solved,622,576
7,Backtracking with MRV,EASY,Solved,298,84
8,Dancing Links,EASY,Solved,762,331
8,Backtracking,EASY,Solved,265,2
8,Forward Checking,EASY,Solved,514,494
8,Backtracking with MRV,EASY,Solved,270,84
9,Dancing Links,EASY,Solved,773,331
9,Backtracking,EASY,Solved,223,2
9,Forward Checking,EASY,Solved,632,576
9,Backtracking with MRV,EASY,Solved,380,84
10,Dancing Links,EASY,Solved,720,331
10,Backtracking,EASY,Solved,242,2
10,Forward Checking,EASY,Solved,478,576
10,Backtracking with MRV,EASY,Solved,287,43
11,Dancing Links,EASY,Solved,703,331
11,Backtracking,EASY,Solved,231,2
11,Forward Checking,EASY,Solved,540,576
11,Backtracking with MRV,EASY,Solved,261,43
12,Dancing Links,EASY,Solved,867,332
12,Backtracking,EASY,Solved,176,2
12,Forward Checking,EASY,Solved,566,576
12,Backtracking with MRV,EASY,Solved,222,84
13,Dancing Links,EASY,Solved,777,331
13,Backtracking,EASY,Solved,203,2
13,Forward Checking,EASY,Solved,516,576
13,Backtracking with MRV,EASY,Solved,382,84
14,Dancing Links,EASY,Solved,692,331
14,Backtracking,EASY,Solved,240,2
14,Forward Checking,EASY,Solved,563,494
14,Backtracking with MRV,EASY,Solved,241,84
15,Dancing Links,EASY,Solved,796,331
15,Backtracking,EASY,Solved,181,2
15,Forward Checking,EASY,Solved,506,494
15,Backtracking with MRV,EASY,Solved,216,84
16,Dancing Links,MEDIUM,Solved,761,331
16,Backtracking,MEDIUM,Solved,363,2
16,Forward Checking,MEDIUM,Solved,800,985
16,Backtracking with MRV,MEDIUM,Solved,347,84
17,Dancing Links,MEDIUM,Solved,683,331
17,Backtracking,MEDIUM,Solved,198,2
17,Forward Checking,MEDIUM,Solved,826,576
17,Backtracking with MRV,MEDIUM,Solved,253,84
18,Dancing Links,MEDIUM,Solved,740,331
18,Backtracking,MEDIUM,Solved,177,2
18,Forward Checking,MEDIUM,Solved,562,658
18,Backtracking with MRV,MEDIUM,Solved,254,84
19,Dancing Links,MEDIUM,Solved,803,331
19,Backtracking,MEDIUM,Solved,316,2
19,Forward Checking,MEDIUM,Solved,778,986
19,Backtracking with MRV,MEDIUM,Solved,378,84
20,Dancing Links,MEDIUM,Solved,850,331
20,Backtracking,MEDIUM,Solved,274,2
20,Forward Checking,MEDIUM,Solved,547,658
20,Backtracking with MRV,MEDIUM,Solved,312,84
21,Dancing Links,MEDIUM,Solved,840,331
21,Backtracking,MEDIUM,Solved,272,2
21,Forward Checking,MEDIUM,Solved,570,658
21,Backtracking with MRV,MEDIUM,Solved,255,84
22,Dancing Links,MEDIUM,Solved,830,331
