| ID    | Algorithm             | Level      | Status     | Time Taken (ms)      | Memory Used (KB)     | Time                 |
| ----- | --------------------- | ---------- | ---------- | -------------------- | -------------------- | -------------------- |
| 1     | Dancing Links         | EASY       | Solved     | 3637                 | 962                  | 2025-05-06 03:12:48  |
| 1     | Backtracking          | EASY       | Solved     | 318                  | 326                  | 2025-05-06 03:12:48  |
| 1     | Forward Checking      | EASY       | Solved     | 2037                 | 620                  | 2025-05-06 03:12:48  |
| 1     | Backtracking with MRV | EASY       | Solved     | 436                  | 58                   | 2025-05-06 03:12:48  |
| 2     | Dancing Links         | EASY       | Solved     | 805                  | 350                  | 2025-05-06 03:12:48  |
| 2     | Backtracking          | EASY       | Solved     | 403                  | 14                   | 2025-05-06 03:12:48  |
| 2     | Forward Checking      | EASY       | Solved     | 1056                 | 665                  | 2025-05-06 03:12:48  |
| 2     | Backtracking with MRV | EASY       | Solved     | 445                  | 89                   | 2025-05-06 03:12:48  |
| 3     | Dancing Links         | EASY       | Solved     | 969                  | 334                  | 2025-05-06 03:12:48  |
| 3     | Backtracking          | EASY       | Solved     | 354                  | 4                    | 2025-05-06 03:12:48  |
| 3     | Forward Checking      | EASY       | Solved     | 823                  | 658                  | 2025-05-06 03:12:48  |
| 3     | Backtracking with MRV | EASY       | Solved     | 336                  | 84                   | 2025-05-06 03:12:48  |
| 4     | Dancing Links         | EASY       | Solved     | 1080                 | 331                  | 2025-05-06 03:12:48  |
| 4     | Backtracking          | EASY       | Solved     | 292                  | 2                    | 2025-05-06 03:12:48  |
| 4     | Forward Checking      | EASY       | Solved     | 706                  | 576                  | 2025-05-06 03:12:48  |
| 4     | Backtracking with MRV | EASY       | Solved     | 382                  | 84                   | 2025-05-06 03:12:48  |
| 5     | Dancing Links         | EASY       | Solved     | 810                  | 331                  | 2025-05-06 03:12:48  |
| 5     | Backtracking          | EASY       | Solved     | 221                  | 2                    | 2025-05-06 03:12:48  |
| 5     | Forward Checking      | EASY       | Solved     | 992                  | 576                  | 2025-05-06 03:12:48  |
| 5     | Backtracking with MRV | EASY       | Solved     | 274                  | 84                   | 2025-05-06 03:12:48  |
| 6     | Dancing Links         | EASY       | Solved     | 803                  | 331                  | 2025-05-06 03:12:48  |
| 6     | Backtracking          | EASY       | Solved     | 207                  | 2                    | 2025-05-06 03:12:49  |
| 6     | Forward Checking      | EASY       | Solved     | 777                  | 576                  | 2025-05-06 03:12:49  |
| 6     | Backtracking with MRV | EASY       | Solved     | 261                  | 84                   | 2025-05-06 03:12:49  |
| 7     | Dancing Links         | EASY       | Solved     | 751                  | 331                  | 2025-05-06 03:12:49  |
| 7     | Backtracking          | EASY       | Solved     | 237                  | 2                    | 2025-05-06 03:12:49  |
| 7     | Forward Checking      | EASY       | Solved     | 622                  | 576                  | 2025-05-06 03:12:49  |
| 7     | Backtracking with MRV | EASY       | Solved     | 298                  | 84                   | 2025-05-06 03:12:49  |
| 8     | Dancing Links         | EASY       | Solved     | 762                  | 331                  | 2025-05-06 03:12:49  |
